;Select one;;
Nicaragua;Bonanza;San Pedro Airport;BZA
Nicaragua;Corn Island;Corn Island;RNI
Nicaragua;Managua;Augusto C. Sandino (Managua) International Airport;MGA
Nicaragua;Puerto Cabezas;Puerto Cabezas Airport;PUZ
Nicaragua;Rosita;Rosita Airport;RFS
Nicaragua;San Carlos;San Carlos;NCR
Nicaragua;Siuna;Siuna;SIU
Nicaragua;Tola;Costa Esmeralda Airport;ECI
Nicaragua;Waspam;Waspam Airport;WSP
Niger;Agadez;Mano Dayak International Airport;AJY
Niger;Maradi;Maradi Airport;MFQ
Niger;Niamey;Diori Hamani International Airport;NIM
Niger;Tahoua;Tahoua Airport;THZ
Niger;Zinder;Zinder Airport;ZND
Nigeria;Abuja;Nnamdi Azikiwe International Airport;ABV
Nigeria;Akure;Akure Airport;AKR
Nigeria;Asaba;Asaba International Airport;ABB
Nigeria;Bauchi;Sir Abubakar Tafawa Balewa International Airport;BCU
Nigeria;Benin;Benin Airport;BNI
Nigeria;Calabar;Margaret Ekpo International Airport;CBQ
Nigeria;Enugu;Akanu Ibiam International Airport;ENU
Nigeria;Gombe;Gombe Lawanti International Airport;GMO
Nigeria;Ibadan;Ibadan Airport;IBA
Nigeria;Ilorin;Ilorin International Airport;ILR
Nigeria;Imo;Sam Mbakwe International Airport;QOW
Nigeria;Jos;Yakubu Gowon Airport;JOS
Nigeria;Kaduna;Kaduna Airport;KAD
Nigeria;Kano;Mallam Aminu International Airport;KAN
Nigeria;Lagos;Murtala Muhammed International Airport;LOS
Nigeria;Maiduguri;Maiduguri International Airport;MIU
Nigeria;Makurdi;Makurdi Airport;MDI
Nigeria;Minna;Minna Airport;MXJ
Nigeria;Osubi;Warri Airport;QRW
Nigeria;Port Hartcourt;Port Harcourt International Airport;PHC
Nigeria;Sokoto;Sadiq Abubakar III International Airport;SKO
Nigeria;Uyo;Akwa Ibom International Airport;QUO
Nigeria;Yola;Yola Airport;YOL
Nigeria;Zaria;Zaria Airport;ZAR
Niue;Alofi;Niue International Airport;IUE
Norfolk Island;Norfolk Island;Norfolk Island International Airport;NLK
North Korea;Chongjin;Orang Airport;RGO
North Korea;Hamhung;Sondok Airport;DSO
North Korea;Pyongyang;Pyongyang Sunan International Airport;FNJ
North Korea;Wonsan;Wonsan Kalma International Airport;WOS
Northern Mariana Islands;Rota;Rota International Airport;ROP
Northern Mariana Islands;Saipan;Saipan International Airport;SPN
Northern Mariana Islands;West Tinian;Tinian International Airport;TIQ
Norway;Alesund;Ålesund Airport;AES
Norway;Alta;Alta Airport;ALF
Norway;Andoya;Andøya Airport;ANX
Norway;Bardufoss;Bardufoss Airport;BDU
Norway;Batsfjord;Båtsfjord Airport;BJF
Norway;Bergen;Bergen Airport Flesland;BGO
Norway;Berlevag;Berlevåg Airport;BVG
Norway;Bodo;Bodø Airport;BOO
Norway;Bronnoysund;Brønnøysund Airport;BNN
Norway;Fagernes;Leirin Airport;VDB
Norway;Farsund;Lista Airport;FAN
Norway;Floro;Florø Airport;FRO
Norway;Geilo;Geilo Airport Dagali;DLD
Norway;Hamar;Stafsberg Airport;HMR
Norway;Hammerfest;Hammerfest Airport;HFT
Norway;Harstad/Narvik;Harstad/Narvik Airport, Evenes;EVE
Norway;Hasvik;Hasvik Airport;HAA
Norway;Haugesund;Haugesund Airport;HAU
Norway;Honningsvag;Valan Airport;HVG
Norway;Kautokeino;Kautokeino Air Base;QKX
Norway;Kirkenes;Kirkenes Airport (Høybuktmoen);KKN
Norway;Kristiansand;Kristiansand Airport;KRS
Norway;Kristiansund;Kristiansund Airport (Kvernberget);KSU
Norway;Lakselv;Banak Airport;LKL
Norway;Leknes;Leknes Airport;LKN
Norway;Mehamn;Mehamn Airport;MEH
Norway;Mo i Rana;Mo i Rana Airport, Røssvoll;MQN
Norway;Molde;Molde Airport;MOL
Norway;Mosjoen;Mosjøen Airport (Kjærstad);MJF
Norway;Namsos;Namsos Høknesøra Airport;OSY
Norway;Narvik;Narvik Framnes Airport;NVK
Norway;Notodden;Notodden Airport;NTB
Norway;Orland;Ørland Airport;OLA
Norway;Orsta-Volda;Ørsta-Volda Airport, Hovden;HOV
Norway;Oslo;Oslo Lufthavn;OSL
Norway;Oslo;Oslo, Fornebu Airport;FBU
Norway;Roros;Røros Airport;RRS
Norway;Rørvik;Rørvik Airport, Ryum;RVK
Norway;Røst;Røst Airport;RET
Norway;Rygge;Moss Airport, Rygge;RYG
Norway;Sandane;Sandane Airport (Anda);SDN
Norway;Sandefjord;Sandefjord Airport, Torp;TRF
Norway;Sandnessjoen;Sandnessjøen Airport (Stokka);SSJ
Norway;Skien;Skien Airport;SKE
Norway;Sogndal;Sogndal Airport;SOG
Norway;Sorkjosen;Sørkjosen Airport;SOJ
Norway;Stavanger;Stavanger Airport Sola;SVG
Norway;Stokmarknes;Stokmarknes Skagen Airport;SKN
Norway;Stord;Stord Airport;SRP
Norway;Svalbard;Svalbard Airport, Longyear;LYR
Norway;Svolvær;Svolvær Helle Airport;SVJ
Norway;Tromso;Tromsø Airport;TOS
Norway;Trondheim;Trondheim Airport Værnes;TRD
Norway;Vadsø;Vadsø Airport;VDS
Norway;Værøy;Værøy Heliport;VRY
Norway;Vardø;Vardø Airport, Svartnes;VAW
Oman;Al Masna'ah;Rustaq Airport;MNH
Oman;Duqm;Duqm International Airport;DQM
Oman;Khasab;Khasab Air Base;KHS
Oman;Masirah;Masirah Air Base;MSH
Oman;Muscat;Muscat International Airport;MCT
Oman;Salalah;Salalah Airport;SLL
Oman;Sohar;Sohar Airport;OHS
Oman;Thumrait;Thumrait Air Base;TTH
Pakistan;Bahawalpur;Bahawalpur Airport;BHV
Pakistan;Bannu;Bannu Airport;BNP
Pakistan;Bhagtanwala;Bhagatanwala Airport;BHW
Pakistan;Chitral;Chitral Airport;CJL
Pakistan;Dalbandin;Dalbandin Airport;DBA
Pakistan;Dera Ghazi Khan;Dera Ghazi Khan Airport;DEA
Pakistan;Dera Ismael Khan;Dera Ismael Khan Airport;DSK
Pakistan;Faisalabad;Faisalabad International Airport;LYP
Pakistan;Gilgit;Gilgit Airport;GIL
Pakistan;Gwadar;Gwadar International Airport;GWD
Pakistan;Hyderabad;Hyderabad Airport;HDD
Pakistan;Islamabad;New Islamabad International Airport;ISB
Pakistan;Jacobsbad;Shahbaz Air Base;JAG
Pakistan;Jiwani;Jiwani Airport;JIW
Pakistan;Kadanwari;Kadanwari Airport;KCF
Pakistan;Kamra;Minhas Air Base;ATG
Pakistan;Karachi;Jinnah International Airport;KHI
Pakistan;Khuzdar;Khuzdar Airport;KDD
Pakistan;Lahore;Alama Iqbal International Airport;LHE
Pakistan;Mangla;Mangla Airport;XJM
Pakistan;Mianwali;Mianwali Air Base;MWD
Pakistan;Moenjodaro;Moenjodaro Airport;MJD
Pakistan;Multan;Multan International Airport;MUX
Pakistan;Muzaffarabad;Muzaffarabad Airport;MFG
Pakistan;Nawabshah;Shaheed Benazirabad Airport;WNS
Pakistan;Ormara Raik;Ormara Airport;ORW
Pakistan;Panjgur;Panjgur Airport;PJG
Pakistan;Parachinar;Parachinar Airport;PAJ
Pakistan;Pasni;Pasni Airport;PSI
Pakistan;Peshawar;Peshawar International Airport;PEW
Pakistan;Quetta;Quetta International Airport;UET
Pakistan;Rahim Yar Khan;Shaikh Zaid Airport;RYK
Pakistan;Rawala Kot;Rawalakot Airport;RAZ
Pakistan;Saidu Sharif;Saidu Sharif Airport;SDT
Pakistan;Sargodha;Mushaf Air Base;SGI
Pakistan;Sehwan Sharif;Sehwan Sharif Airport;SYW
Pakistan;Sialkot;Sialkot Airport;SKT
Pakistan;Sindh;Sawan Airport;RZS
Pakistan;Skardu;Skardu Airport;KDU
Pakistan;Sui;Sui Airport;SUL
Pakistan;Sukkur;Sukkur Airport;SKZ
Pakistan;Talhar;Talhar Airport;BDN
Pakistan;Turbat;Turbat International Airport;TUK
Pakistan;Wana;Wana Airport;WAF
Pakistan;Zhob;Zhob Airport;PZH
Palau;Babelthuap;Babelthuap Airport;ROR
Palestine;Gaza;Yasser Arafat International Airport;GZA
Panama;Bocas Del Toro;Bocas Del Toro International Airport;BOC
Panama;Changuinola;Cap Manuel Niño International Airport;CHX
Panama;Chitré;Alonso Valderrama Airport;CTD
Panama;Colón;Enrique Adolfo Jimenez Airport;ONX
Panama;David;Enrique Malek International Airport;DAV
Panama;Howard;Panama Pacific International Airport;BLB
Panama;Jaqué;Jaqué Airport;JQE
Panama;La Palma;Captain Ramon Xatruch Airport;PLP
Panama;Panama;Marcos A. Gelabert International Airport;PAC
Panama;Panama City;Tocumen International Airport;PTY
Panama;Puerto Obaldia;Puerto Obaldia Airport;PUE
Panama;Rio Hato;Scarlett Martinez International Airport;RIH
Panama;Santiago;Ruben Cantu Airport;SYP
Papua New Guinea;Baimuru;Baimuru Airport;VMU
Papua New Guinea;Balimo;Balimo Airport;OPU
Papua New Guinea;Bodinumu;Bodinumu Airport;BNM
Papua New Guinea;Buka Island;Buka Airport;BUA
Papua New Guinea;Bulolo;Bulolo Airport;BUL
Papua New Guinea;Daru;Daru Airport;DAU
Papua New Guinea;Efogi;Efogi Airport;EFG
Papua New Guinea;Girua;Girua Airport;PNP
Papua New Guinea;Goroka;Goroka Airport;GKA
Papua New Guinea;Gurney;Gurney Airport;GUR
Papua New Guinea;Hoskins;Kimbe Airport;HKN
Papua New Guinea;Kagi;Kagi Airport;KGW
Papua New Guinea;Kavieng;Kavieng Airport;KVG
Papua New Guinea;Kerema;Kerema Airport;KMA
Papua New Guinea;Kieta;Kaintiba Airport;KZF
Papua New Guinea;Kikori;Kikori Airport;KRI
Papua New Guinea;Kiunga;Kiunga Airport;UNG
Papua New Guinea;Kundiawa;Chimbu Airport;CMU
Papua New Guinea;Madang;Madang Airport;MAG
Papua New Guinea;Mendi;Mendi Airport;MDU
Papua New Guinea;Misima Island;Misima Island Airport;MIS
Papua New Guinea;Momote;Momote Airport;MAS
Papua New Guinea;Moro;Moro Airport;MXH
Papua New Guinea;Mount Hagen;Mount Hagen Kagamuga Airport;HGU
Papua New Guinea;Nadunumu;Nadunumu Airport;NDN
Papua New Guinea;Nadzab;Nadzab Airport;LAE
Papua New Guinea;Port Moresby;Port Moresby Jacksons International Airport;POM
Papua New Guinea;Sasereme;Sasereme Airport;TDS
Papua New Guinea;Simberi Island;Simberi Airport;NIS
Papua New Guinea;Tabubil;Tabubil Airport;TBG
Papua New Guinea;Tari;Tari Airport;TIZ
Papua New Guinea;Tokua;Tokua Airport;RAB
Papua New Guinea;Vanimo;Vanimo Airport;VAI
Papua New Guinea;Wapenamanda;Wapenamanda Airport;WBM
Papua New Guinea;Wewak;Wewak International Airport;WWK
Paraguay;Asuncion;Silvio Pettirossi International Airport;ASU
Paraguay;Ayolas;Juan De Ayolas Airport;AYO
Paraguay;Ciudad del Este;Guarani International Airport;AGT
Paraguay;Conception;Teniente Col Carmelo Peralta Airport;CIO
Paraguay;Encarnacion;Encarnación Airport;ENO
Paraguay;Mariscal Estigarribia;Dr. Luis Maria Argaña International Airport;ESG
Paraguay;Pedro Juan Caballero;Dr Augusto Roberto Fuster International Airport;PJC
Paraguay;Pilar;Carlos Miguel Gimenez Airport;PIL
Peru;Andahuaylas;Andahuaylas Airport;ANS
Peru;Andoas;Alferez FAP Alfredo Vladimir Sara Bauer Airport;AOP
Peru;Anta;Comandante FAP German Arias Graziani Airport;ATA
Peru;Arequipa;Rodríguez Ballón International Airport;AQP
Peru;Ayacucho;Coronel FAP Alfredo Mendivil Duarte Airport;AYP
Peru;Cajamarca;Mayor General FAP Armando Revoredo Iglesias Airport;CJA
Peru;Chachapoyas;Chachapoyas Airport;CHH
Peru;Chiclayo;Capitan FAP Jose A Quinones Gonzales International Airport;CIX
Peru;Chimbote;Teniente FAP Jaime A De Montreuil Morales Airport;CHM
Peru;Cuzco;Alejandro Velasco Astete International Airport;CUZ
Peru;Huánuco;Alferez Fap David Figueroa Fernandini Airport;HUU
Peru;Iberia;Iberia Airport;IBP
Peru;Ilo;Ilo Airport;ILQ
Peru;Iquitos;Coronel FAP Francisco Secada Vignetta International Airport;IQT
Peru;Jaén;Shumba Airport;JAE
Peru;Jauja;Francisco Carle Airport;JAU
Peru;Juanjui;Juanjui Airport;JJI
Peru;Juliaca;Inca Manco Capac International Airport;JUL
Peru;Lima;Jorge Chávez International Airport;LIM
Peru;Nazca;Maria Reiche Neuman Airport;NZC
Peru;Pisco;Capitán FAP Renán Elías Olivera International Airport;PIO
Peru;Piura;Capitán FAP Guillermo Concha Iberico International Airport;PIU
Peru;Pucallpa;Cap FAP David Abenzur Rengifo International Airport;PCL
Peru;Puerto Maldonado;Padre Aldamiz International Airport;PEM
Peru;Rioja;Juan Simons Vela Airport;RIJ
Peru;Tacna;Coronel FAP Carlos Ciriani Santa Rosa International Airport;TCQ
Peru;Talara;Capitan Montes Airport;TYL
Peru;Tarapoto;Cadete FAP Guillermo Del Castillo Paredes Airport;TPP
Peru;Tingo Maria;Tingo Maria Airport;TGI
Peru;Trujillo;Capitan FAP Carlos Martinez De Pinillos International Airport;TRU
Peru;Tumbes;Capitan FAP Pedro Canga Rodriguez Airport;TBP
Peru;Yurimaguas;Moises Benzaquen Rengifo Airport;YMS
Philippines;Angeles City;Diosdado Macapagal International Airport;CRK
Philippines;Bacolod;Bacolod-Silay Airport;BCD
Philippines;Baguio;Loakan Airport;BAG
Philippines;Baler;Dr.Juan C. Angara Airport;BQA
Philippines;Basco;Basco Airport;BSO
Philippines;Busuanga;Francisco B. Reyes Airport;USU
Philippines;Butuan;Bancasi Airport;BXU
Philippines;Cagayan de Oro City;Laguindingan Airport;CGY
Philippines;Calbayog City;Calbayog Airport;CYP
Philippines;Camiguin;Camiguin Airport;CGM
Philippines;Catarman;Catarman National Airport;CRM
Philippines;Caticlan;Godofredo P. Ramos Airport;MPH
Philippines;Cauayan;Cauayan Airport;CYZ
Philippines;Cebu;Mactan Cebu International Airport;CEB
Philippines;Cotabato;Awang Airport;CBO
Philippines;Cuyo;Cuyo Airport;CYU
Philippines;Daet;Daet Airport;DTE
Philippines;Davao;Francisco Bangoy International Airport;DVO
Philippines;Dipolog;Dipolog Airport;DPL
Philippines;Dumaguete;Sibulan Airport;DGT
Philippines;Gasan;Marinduque Airport;MRQ
Philippines;Iloilo;Iloilo International Airport;ILO
Philippines;Jolo;Jolo Airport;JOL
Philippines;Kalibo;Kalibo International Airport;KLO
Philippines;Laoag;Laoag International Airport;LAO
Philippines;Legazpi;Legazpi City International Airport;LGP
Philippines;Lubang;Lubang Airport;LBX
Philippines;Mamburao;Mamburao Airport;MBO
Philippines;Manila;Ninoy Aquino International Airport;MNL
Philippines;Masbate;Moises R. Espinosa Airport;MBT
Philippines;Naga;Naga Airport;WNP
Philippines;Olongapo City;Subic Bay International Airport;SFS
Philippines;Ormoc City;Ormoc Airport;OMC
Philippines;Ozamis;Labo Airport;OZC
Philippines;Pagadian;Pagadian Airport;PAG
Philippines;Puerto Princesa;Puerto Princesa Airport;PPS
Philippines;Romblon;General Santos International Airport;GES
Philippines;Romblon;Tugdan Airport;TBH
Philippines;Roxas City;Roxas Airport;RXS
Philippines;San Fernando;San Fernando Airport;SFE
Philippines;San Jose;Evelio Javier Airport;EUQ
Philippines;San Jose;San Jose Airport;SJI
Philippines;Sanga Sanga;Sanga Sanga Airport;TWT
Philippines;Sangley Point;Surigao Airport;SUG
Philippines;Siargao;Siargao Airport;IAO
Philippines;Surallah;Allah Valley Airport;AAV
Philippines;Tacloban;Daniel Z. Romualdez Airport;TAC
Philippines;Tagbilaran;Tagbilaran Airport;TAG
Philippines;Tandag;Tandag Airport;TDG
Philippines;Taytay;Cesar Lim Rodriguez Airport;RZP
Philippines;Tuguegarao;Tuguegarao Airport;TUG
Philippines;Virac;Virac Airport;VRC
Philippines;Zamboanga;Zamboanga International Airport;ZAM
Philippines;Bislig;Bislig Airport;BPH
Philippines;Mati City;Mati National Airport;MXI
Poland;Biała Podlaska;Biała Podlaska Airfield;BXP
Poland;Bydgoszcz;Bydgoszcz Ignacy Jan Paderewski Airport;BZG
Poland;Gdansk;Gdańsk Lech Wałęsa Airport;GDN
Poland;Gdynia;Oksywie Military Air Base;QYD
Poland;Katowice;Katowice International Airport;KTW
Poland;Krakow;Kraków John Paul II International Airport;KRK
Poland;Lodz;Łódź Władysław Reymont Airport;LCJ
Poland;Lublin;Lublin Airport;LUZ
Poland;Poznan;Poznań-Ławica Airport;POZ
Poland;RADOM;Radom Airport;RDO
Poland;Rzeszow;Rzeszów-Jasionka Airport;RZE
Poland;Slupsk;Redzikowo Air Base;OSP
Poland;Szczecin;"Szczecin-Goleniów ""Solidarność"" Airport";SZZ
Poland;Szczytno-Szymany;Olsztyn-Mazury Airport;SZY
Poland;Warsaw;Modlin Airport;WMI
Poland;Warsaw;Warsaw Chopin Airport;WAW
Poland;Wroclaw;Copernicus Wrocław Airport;WRO
Poland;Zielona Gora;Zielona Góra-Babimost Airport;IEG
Portugal;Alverca;Alverca Air Base;AVR
Portugal;Beja (madeira);Beja Airport / Airbase;BYJ
Portugal;Braga;Braga Municipal Aerodrome;BGZ
Portugal;Braganca;Bragança Airport;BGC
Portugal;Cascais;Cascais Airport;CAT
Portugal;Corvo;Corvo Airport;CVU
Portugal;Faro;Faro Airport;FAO
Portugal;Flores;Flores Airport;FLW
Portugal;Funchal;Madeira Airport;FNC
Portugal;Graciosa Island;Graciosa Airport;GRW
Portugal;Horta;Horta Airport;HOR
Portugal;Lajes (terceira Island);Lajes Airport;TER
Portugal;Lisbon;Humberto Delgado Airport (Lisbon Portela Airport);LIS
Portugal;Monte Real;Monte Real Air Base;QLR
Portugal;Pico;Pico Airport;PIX
Portugal;Ponta Delgada;João Paulo II Airport;PDL
Portugal;Portimao;Portimão Airport;PRM
Portugal;Porto;Francisco de Sá Carneiro Airport;OPO
Portugal;Porto Santo;Porto Santo Airport;PXO
Portugal;Santa Maria (island);Santa Maria Airport;SMA
Portugal;Sao Jorge Island;São Jorge Airport;SJZ
Portugal;Vila Real;Vila Real Airport;VRL
Portugal;Viseu;Aerodromo Goncalves Lobato (Viseu Airport);VSE
Puerto Rico;Aguadilla;Rafael Hernandez Airport;BQN
Puerto Rico;Arecibo;Antonio Nery Juarbe Pol Airport;ARE
Puerto Rico;Ceiba;José Aponte de la Torre Airport;NRR
Puerto Rico;Culebra Island;Benjamin Rivera Noriega Airport;CPX
Puerto Rico;Fajardo;Diego Jimenez Torres Airport;FAJ
Puerto Rico;Mayaguez;Eugenio Maria De Hostos Airport;MAZ
Puerto Rico;Ponce;Mercedita Airport;PSE
Puerto Rico;San Juan;Fernando Luis Ribas Dominicci Airport;SIG
Puerto Rico;San Juan;Luis Munoz Marin International Airport;SJU
Puerto Rico;Vieques Island;Vieques Airport;VQS
Qatar;Doha;Al Udeid Air Base;XJD
Qatar;Doha;Doha International Airport;DIA
Qatar;Doha;Hamad International Airport;DOH
Reunion;St.-denis;Roland Garros Airport;RUN
Reunion;St.-pierre;Pierrefonds Airport;ZSE
Romania;Arad;Arad International Airport;ARW
Romania;Bacau;Bacău Airport;BCM
Romania;Baia Mare;Tautii Magheraus Airport;BAY
Romania;Bucharest;Băneasa International Airport;BBU
Romania;Bucharest;Henri Coandă International Airport;OTP
Romania;Caransebes;Caransebeş Airport;CSB
Romania;Cluj-napoca;Cluj-Napoca International Airport;CLJ
Romania;Constanta;Mihail Kogălniceanu International Airport;CND
Romania;Craiova;Craiova Airport;CRA
Romania;Iasi;Iaşi Airport;IAS
Romania;Oradea;Oradea International Airport;OMR
Romania;Satu Mare;Satu Mare Airport;SUJ
Romania;Sibiu;Sibiu International Airport;SBZ
Romania;Suceava;Suceava Stefan cel Mare Airport;SCV
Romania;Timisoara;Timişoara Traian Vuia Airport;TSR
Romania;Tirgu Mures;Transilvania Târgu Mureş International Airport;TGM
Romania;Tulcea;Tulcea Airport;TCE
Russia;Abakan;Abakan Airport;ABA
Russia;Achinsk;Achinsk Airport;ACS
Russia;Aldan;Aldan Airport;ADH
Russia;Amderma;Amderma Airport;AMV
Russia;Anadyr;Ugolny Airport;DYR
Russia;Anapa;Anapa Vityazevo Airport;AAQ
Russia;Apatity;Kirovsk-Apatity Airport;KVK
Russia;Arkhangelsk;Leshukonskoye Airport;LDG
Russia;Arkhangelsk;Talagi Airport;ARH
Russia;Astrakhan;Astrakhan Airport;ASF
Russia;Balakovo;Balakovo Airport;BWO
Russia;Barnaul;Barnaul Airport;BAX
Russia;Batagay;Batagay Airport;BQJ
Russia;Batagay-Alyta;Sakkyryr Airport;SUK
Russia;Belgorod;Belgorod International Airport;EGO
Russia;Beloyarsky;Beloyarskiy Airport;EYK
Russia;Berezovo;Berezovo Airport;EZV
Russia;Beslan;Beslan Airport;OGZ
Russia;Blagoveschensk;Ignatyevo Airport;BQS
Russia;Bodaibo;Bodaybo Airport;ODO
Russia;Bogorodskoe;Bogorodskoye Airport;BQG
Russia;Bor;Podkamennaya Tunguska Airport;TGP
Russia;Bratsk;Bratsk Airport;BTK
Russia;Bryansk;Bryansk Airport;BZK
Russia;Bugulma;Bugulma Airport;UUA
Russia;Cheboksary;Cheboksary Airport;CSY
Russia;Chelyabinsk;Chelyabinsk Balandino Airport;CEK
Russia;Cherepovets;Cherepovets Airport;CEE
Russia;Cherskiy;Cherskiy Airport;CYX
Russia;Chita;Chita-Kadala Airport;HTA
Russia;Chokurdah;Chokurdakh Airport;CKH
Russia;Dikson;Dikson Airport;DKS
Russia;Elista;Elista Airport;ESL
Russia;Eysk;Yeysk Airport;EIK
Russia;Gelendzhik;Gelendzhik Airport;GDZ
Russia;Gorno-Altaysk;Gorno-Altaysk Airport;RGK
Russia;Honuu;Moma Airport;MQJ
Russia;Igarka;Igarka Airport;IAA
Russia;Inta;Inta Airport;INA
Russia;Irkutsk;Irkutsk Airport;IKT
Russia;Ivanovo;Ivanovo South Airport;IWA
Russia;Izhevsk;Izhevsk Airport;IJK
Russia;Kaliningrad;Khrabrovo Airport;KGD
Russia;Kaluga;Grabtsevo Airport;KLF
Russia;Kavalerovo;Kavalerovo Airport;KVR
Russia;Kazan;Kazan International Airport;KZN
Russia;Kemorovo;Kemerovo Airport;KEJ
Russia;Khabarovsk;Khabarovsk-Novy Airport;KHV
Russia;Khandyga;Typliy Klyuch Airport;KDY
Russia;Khanty-Mansiysk;Khanty Mansiysk Airport;HMA
Russia;Khatanga;Khatanga Airport;HTG
Russia;Kirensk;Kirensk Airport;KCK
Russia;Kirov;Pobedilovo Airport;KVX
Russia;Kogalym;Kogalym International Airport;KGP
Russia;Komsomolsk-on-Amur;Komsomolsk-on-Amur Airport;KXK
Russia;Kostroma;Kostroma Sokerkino Airport;KMW
Russia;Kotlas;Kotlas Airport;KSZ
Russia;Krasnodar;Krasnodar Pashkovsky International Airport;KRR
Russia;Krasnoyarsk;Yemelyanovo Airport;KJA
Russia;Kurgan;Kurgan Airport;KRO
Russia;Kursk;Kursk East Airport;URS
Russia;Kyzyl;Kyzyl Airport;KYZ
Russia;Lensk;Lensk Airport;ULK
Russia;Lipetsk;Lipetsk Airport;LPK
Russia;Magadan;Sokol Airport;GDX
Russia;Magas;Magas Airport;IGT
Russia;Magnetiogorsk;Magnitogorsk International Airport;MQF
Russia;Makhachkala;Uytash Airport;MCX
Russia;Markovo;Markovo Airport;KVM
Russia;Mineralnye Vody;Mineralnyye Vody Airport;MRV
Russia;Mirnyj;Mirny Airport;MJZ
Russia;Moscow;Bykovo Airport;BKA
Russia;Moscow;Domodedovo International Airport;DME
Russia;Moscow;Ostafyevo International Airport;OSF
Russia;Moscow;Sheremetyevo International Airport;SVO
Russia;Moscow;Vnukovo International Airport;VKO
Russia;Murmansk;Murmansk Airport;MMK
Russia;Nadym;Nadym Airport;NYM
Russia;Nalchik;Nalchik Airport;NAL
Russia;Naryan-Mar;Naryan Mar Airport;NNM
Russia;Nefteyugansk;Nefteyugansk Airport;NFG
Russia;Neryungri;Chulman Airport;NER
Russia;Nikolayevsk-na-Amure Airport;Nikolayevsk-na-Amure Airport;NLI
Russia;Nizhnekamsk;Begishevo Airport;NBC
Russia;Nizhnevartovsk;Nizhnevartovsk Airport;NJC
Russia;Nizhniy Novgorod;Nizhny Novgorod Strigino International Airport;GOJ
Russia;Nogliki;Nogliki Airport;NGK
Russia;Norilsk;Norilsk-Alykel Airport;NSK
Russia;Novokuznetsk;Spichenkovo Airport;NOZ
Russia;Novosibirsk;Tolmachevo Airport;OVB
Russia;Novy Urengoy;Novy Urengoy Airport;NUX
Russia;Noyabrsk;Noyabrsk Airport;NOJ
Russia;Nyagan;Nyagan Airport;NYA
Russia;Nyurba;Nyurba Airport;NYR
Russia;Okhotsk;Okhotsk Airport;OHO
Russia;Olekminsk;Olyokminsk Airport;OLZ
Russia;Olenyok;Olenyok Airport;ONK
Russia;Omsk;Omsk Central Airport;OMS
Russia;Orenburg;Orenburg Central Airport;REN
Russia;Orsk;Orsk Airport;OSW
Russia;Pechora;Pechora Airport;PEX
Russia;Penza;Penza Airport;PEZ
Russia;Perm;Bolshoye Savino Airport;PEE
Russia;Petropavlovsk;Yelizovo Airport;PKC
Russia;Petrozavodsk;Petrozavodsk Airport;PES
Russia;Pevek;Pevek Airport;PWE
Russia;Provideniya Bay;Provideniya Bay Airport;PVS
Russia;Pskov;Pskov Airport;PKV
Russia;Raduzhnyi;Raduzhny Airport;RAT
Russia;Ramenskoe;Zhukovsky International Airport;ZIA
Russia;Rostov;Platov International Airport;ROV
Russia;Rybinsk;Staroselye Airport;RYB
Russia;Sabetta;Sabetta International Airport;SBT
Russia;Salekhard;Salekhard Airport;SLY
Russia;Samara;Kurumoch International Airport;KUF
Russia;Saransk;Saransk Airport;SKX
Russia;Saratov;Saratov Central Airport;RTW
Russia;Saskylakh;Saskylakh Airport;SYS
Russia;Shakhtyorsk;Shakhtyorsk Airport;EKS
Russia;Shchyolkovo;Chkalovskiy Air Base;CKL
Russia;Smolensk;Smolensk North Airport;LNX
Russia;Sochi;Sochi International Airport;AER
Russia;Solovetsky Islands;Solovki Airport;CSH
Russia;Sovetskaya Gavan;Maygatka Airport.;GVN
Russia;Sovetskiy;Sovetskiy Airport;OVS
Russia;Srednekolymsk;Srednekolymsk Airport;SEK
Russia;St. Petersburg;Pulkovo Airport;LED
Russia;Stavropol;Stavropol Shpakovskoye Airport;STW
Russia;Strezhevoy;Strezhevoy Airport;SWT
Russia;Suntar;Suntar Airport;SUY
Russia;Surgut;Surgut Airport;SGC
Russia;Syktyvkar;Syktyvkar Airport;SCW
Russia;Taganrog;Taganrog Yuzhny Airport;TGK
Russia;Talakan;Talakan Airport;TLK
Russia;Tambow;Donskoye Airport;TBW
Russia;Tarko-Sale;Tarko-Sale Airport;TQL
Russia;Tiksi;Tiksi Airport;IKS
Russia;Tomsk;Bogashevo Airport;TOF
Russia;Turukhansk;Turukhansk Airport;THX
Russia;Tver;Migalovo Air Base;KLD
Russia;Tyumen;Roshchino International Airport;TJM
Russia;Ufa;Ufa International Airport;UFA
Russia;Ukhta;Ukhta Airport;UCT
Russia;Ulan-ude;Ulan-Ude Airport (Mukhino);UUD
Russia;Ulyanovsk;Ulyanovsk Baratayevka Airport;ULV
Russia;Ulyanovsk;Ulyanovsk East Airport;ULY
Russia;Uraj;Uray Airport;URJ
Russia;Usinsk;Usinsk Airport;USK
Russia;Ust Ilimsk;Ust-Ilimsk Airport;UIK
Russia;Ust-Kut;Ust-Kut Airport;UKX
Russia;Ust-Kuyga;Ust-Kuyga Airport;UKG
Russia;Ust-Maya;Ust-Maya Airport;UMS
Russia;Ust-Nera;Ust-Nera Airport;USR
Russia;Ust-Tsylma;Ust-Tsylma Airport;UTS
